guid,name,email,tel,department
87d3ba71-96ba-443e-99e9-5fb8cf98ed2b,Aisha Bui,aisha.bui@evilcorp.com,555-309-6145,Management
dfd73c26-625a-468e-a1da-ff30e9af40df,Annelie Reinsch,annelie.reinsch@evilcorp.com,555-177-4703,Management
90322934-a851-45ce-ac0c-f7ded0a38df8,Barb Silva,barb.silva@evilcorp.com,555-375-7169,Finance
25561405-6280-4b9d-865f-2b1aca3bd4b1,Blake Robertson,blake.robertson@evilcorp.com,555-362-1574,IT-Support
b9652654-12e2-4871-ba14-2e369bf9c4ef,Christina Holland,christina.holland@evilcorp.com,555-261-1207,Management
5f99f26b-f024-4868-b56e-cb592a11ca69,Clementine Jongejans,clementine.jongejans@evilcorp.com,555-917-1377,Management
b3a9cf09-4d88-47a5-9f46-96c313d9ff41,Heather Bennett,heather.bennett@evilcorp.com,555-415-5403,Marketing
4e2e7912-66e4-4ac0-8268-cb467c249550,Jakob Crawford,jakob.crawford@evilcorp.com,555-205-4367,Management
e3b1c2a2-4490-48df-82ee-527798db4148,Juan Waibel,juan.waibel@evilcorp.com,555-372-3003,Marketing
daa08996-544a-4348-8bb3-0948c40ddd38,Leah Watkins,leah.watkins@evilcorp.com,555-733-1745,Marketing
0356d34f-ff82-4ff8-8ede-d65c993b70d1,Leander Tomren,leander.tomren@evilcorp.com,555-595-2552,Finance
dc9d1972-d9ef-4543-9f1b-4b4f89997a9f,Margareta Hopf,margareta.hopf@evilcorp.com,555-225-9715,Management
9aea9836-61df-47ef-9561-dc3d7c47cfea,Merith Dickhoff,merith.dickhoff@evilcorp.com,555-813-6954,Finance
6ef0e720-c43e-4a51-9fe2-a396d2787ea8,Naftali Schoones,naftali.schoones@evilcorp.com,555-375-7869,IT-Support
44ee211b-62fd-4c07-99db-9552942cf43e,Nelia Fjellstad,nelia.fjellstad@evilcorp.com,555-644-3612,Management
b0c37ad6-69a3-45d7-90e7-b06de3fe79af,Noelle Hotvedt,noelle.hotvedt@evilcorp.com,555-731-9991,IT-Support
54290795-bde0-40e9-a6aa-2e88b80dd308,Nova Balstad,nova.balstad@evilcorp.com,555-364-6232,IT-Support
98fb9c5b-9f02-473d-afe3-06e144353a9c,Raisa Brendel,raisa.brendel@evilcorp.com,555-081-3350,IT-Support
a23ad6d2-f722-48d1-b267-0305b8fa638f,Rolf Hofbauer,rolf.hofbauer@evilcorp.com,555-012-5343,Marketing
